證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得採用權益法之投資,　　 處分子公司,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款－關係人增加,　　 取得無形資產,　　 處分投資性不動產,　　 其他非流動資產減少,　　 預付設備款減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 其他應付款－關係人增加,　　 發放現金股利,　　 現金增資,　　 庫藏股票買回成本,　　 庫藏股票處分,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預收款項增加－處分資產,　　 短期借款減少,　　 其他非流動資產增加,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 其他應收款－關係人減少,　　 應付短期票券減少,　　 採用權益法之被投資公司減資退回股款,　　 其他金融資產減少,　　 無活絡市場之債務商品投資到期還本,　　 其他金融資產增加
1715,2015年01月01日至2015年09月30日,,                281585,                281585,,,                293252,                  7223,                  8949,                -11822,                106565,                -20182,                -14764,                  4521,                              0,                              0,                 -2106,                              0,                371636,,,                 24388,                105491,                   -794,                151533,                 54079,                 23404,                  2367,                 86056,                -28734,                  9373,                427163,,                              0,                 54114,                    110,                -19809,                   -956,                -99260,                 61402,                -46142,                 -9015,                -59556,                367607,                739243,              1020828,                 20182,                 62913,               -114629,                -54541,                934753,,             -1089774,              1130157,               -168430,                              0,                              0,               -910805,                  1259,               -261250,                              0,                              0,                -28188,                              0,               -569570,             -1896601,,                504599,                300000,                900000,              1738187,             -1794853,                -43163,               -631914,                255500,                -42915,                              0,                -17799,                              0,              1167642,                 85308,                291102,              1989648,              2280750,              2280750,,,,,,,,,,,,,,
1715,2015年01月01日至2015年06月30日,,                163602,                163602,,,                153508,                  4104,                  4591,                 -1203,                 39554,                 -9587,                 27172,                  1604,                              0,                              0,                 -2097,                              0,                217646,,,                 24387,                117503,                -13042,                217590,                -79525,                 23531,                 -1998,                 93298,                157758,                 11136,                550638,,,                 37534,                  2755,               -146143,                  5968,                -15670,                  9002,                -14077,                 -9994,               -130625,                420013,                637659,                801261,                  9587,                 62913,                -32857,                -38815,                802089,,               -952090,              1132201,               -566652,                              0,                              0,               -267035,                  1468,               -198900,                              0,                              0,                -41302,                              0,,               -892310,,                361868,                150000,                900000,                758001,             -1153057,,,                              0,,,                -17799,,                999013,               -131870,                776922,              1830039,              2606961,              2606961,                              0,                              0,,,,,,,,,,,,
1715,2015年01月01日至2015年03月31日,,                 95343,                 95343,,,                 76374,                  2150,                    681,                 -2936,                 16901,                 -3142,                 35013,                  1532,,                              0,                 -1536,,                125037,,,                 24387,                 49525,                -21435,                164557,                -11839,                 14027,                  1925,                 74909,                145811,                  9583,                451450,,,                -12457,                 -1556,                -86202,                -92271,                -29885,                 -8186,                 -9855,                    701,               -239711,                211739,                336776,                432119,                  3142,,                -12580,                -13360,                409321,,               -732702,                784770,               -566652,                              0,                              0,               -155278,                 14676,                              0,,,,                              0,,               -713228,,                295464,                              0,,                356570,                              0,,,                              0,,,                -17799,,                634235,                -46636,                283692,              1830039,              2113731,              2113731,,,                -58042,,,,,,,,,,,
1715,2014年度,,                900217,                900217,,,                267562,                  7429,                  7334,                -16537,                 66900,                -11520,                -63695,                  4671,               -109347,               -225040,                 -2901,                              0,,,,                 13472,                 45375,                   -620,                -79967,                 36081,                  1495,                 -4650,                 15950,                 29728,                -66253,                 -9389,,                              0,                -30249,                    907,               -163458,                 47915,                 65726,                 11189,                  8300,,                -59670,                -69059,               -144203,                756014,                 11520,                 82327,                -65469,               -205502,                578890,,,,               -202451,                -10840,                488781,               -640998,                    965,,                              0,              1013762,,                -16684,,                629995,,,,                              0,              1500000,             -1842160,,               -474414,                121791,               -321881,                              0,                -21220,,             -1346626,                104972,                -32769,              1862808,              1830039,              1830039,,               -308742,                 -5441,,                              0,                -75144,             -1080976,              1083877,                              0,                              0,,,,
1715,2014年01月01日至2014年09月30日,,                684983,                684983,,,                273394,                  6169,                  4778,                 -6753,                 99854,                -13288,                -51965,                  3134,               -109347,               -225040,                 -2473,                              0,                -21537,,,                    153,                 59701,                    958,                 -1402,                -34415,                -55293,                 -3838,                -96389,                 98328,                -49125,                -81322,,                              0,                -34751,                   -176,               -182340,                162914,                 32388,                              0,                -44604,                  1107,                -65462,               -146784,               -168321,                516662,                 13288,                 67502,                -93947,               -161250,                342255,,               -524410,                624793,               -156676,                -10840,                488781,               -527042,                    972,                              0,                              0,              1013762,                -15488,                -16864,                              0,                876988,,               -337851,                              0,                              0,                700000,               -718293,                              0,               -427130,                121791,               -287557,                              0,                -21220,                -47284,             -1017544,                 16217,                217916,              1993296,              2211212,              2211212,,,,,,,,,,,,,,
1715,2014年01月01日至2014年06月30日,,                390154,                390154,,,                130235,                  2980,                  2818,                 -6513,                 36066,                 -5117,                -30695,                    794,               -109275,                -13763,                 -1986,                              0,                  5544,,,                    438,                125461,                 -8553,               -155990,                -55959,                 28721,                 -1983,                   -483,                 22465,                 -2335,                -48218,,,                 70613,                 11187,               -110629,                -21325,                 45054,                              0,                 11399,                    445,                  6744,                -41474,                -35930,                354224,                  5117,                              0,                -38410,                -69834,                251097,,               -277989,                384551,               -156942,                -10840,                 33959,               -345111,                    984,                              0,                              0,              1014140,                -45754,                -16864,,                706481,,                              0,                              0,                              0,                600000,             -1319812,,,                121791,,,                -16327,,               -781654,                -69391,                106533,              1862808,              1969341,              1969341,                126347,               -167306,,,,,,,,,,,,
1715,2014年01月01日至2014年03月31日,,                151122,                151122,,,                 64217,                  1312,                  1147,                 -4223,                 17984,                 -3293,                 -5023,                    379,,                -15790,                 -5050,,                 51660,,,                              0,                 58984,                 -1564,                -52952,                -35321,                 32726,                   -562,                -59772,                 26784,                 -1433,                -33110,,,                     56,                              0,                -29403,                  1859,                -32875,                              0,                   -995,                    880,                -60478,                -93588,                -41928,                109194,                  3293,,                -13434,                -36912,                 62141,,                -47966,                221106,                              0,                -10840,                 33191,               -133939,                  1263,               -122363,,,,                              0,,               -288554,,               -157461,                 70000,,                600000,               -716972,,,                121791,,,                -16327,,                -98969,                 -7894,               -333276,              1862808,              1529532,              1529532,,,               -229006,,,,,,,,,,,
1715,2013年度,,                646298,                646298,,,                259790,                  5740,                   -482,                -23552,                 66644,                -13988,                -70691,                  2570,                              0,                -52979,                 -1383,                              0,,,,                 16069,               -139449,                 14711,               -204886,                 44280,                -12587,                  1899,               -240012,               -105992,                   -651,               -626618,,                              0,                 40723,                  1037,                112804,                 73283,                 22675,                              0,                 -4568,,                245954,               -380664,               -202695,                443603,                 13988,                113794,                -50856,               -123149,                397380,,,,                 -1148,                              0,                578000,               -636550,                    692,,                              0,                              0,,                              0,,               -210219,,,,                700000,              1170000,             -1735185,,               -322678,                182709,               -146442,                              0,                -19823,,               -189229,                260624,                258556,              1604252,              1862808,              1862808,,                 32190,                -25949,,                  6300,                177969,               -604182,                433643,                 45275,                -50000,,,,
1715,2013年01月01日至2013年12月31日,,                593658,                593658,,,                259790,                  5740,                   -482,                -30260,                 66644,                -13988,                -70691,                  2570,,,                 -1383,                -13734,,,,                 22777,               -139449,                 14711,               -204886,                 44280,                -12587,                  1899,               -226278,               -105992,                   -651,               -606176,,,                 40723,                  1037,                112804,                 73283,                 22675,                              0,                 26262,                -22230,                254554,               -351622,               -141116,                452542,                 13988,                113794,                -50856,                -70509,                458959,,,,                 -1148,,,               -636550,                517113,                 45275,                              0,,,,                 14838,               -271798,,                 32190,,                700000,              1170000,             -1735185,,               -322678,                182709,               -146442,,                 19823,,               -149583,                220978,                258556,              1604252,              1862808,              1862808,,,                -40787,,                  6300,                210506,               -604182,                433643,,                -50000,,,,
1715,2013年01月01日至2013年09月30日,,                522439,                522439,,,                189738,                  4305,                   -984,                -30173,                 49677,                -10571,                -56290,                  2418,                              0,                -52979,                              0,,,,,                  3661,               -118482,                 13264,               -166030,                 34568,                 11093,                  1355,               -183565,                -26495,                    156,               -430475,,,                 60237,                  1151,                 88189,                 20150,                 47335,,                 10011,                -16638,                210435,               -220040,               -124899,                397540,                 10571,                 80732,                -38506,               -111337,                339000,,,,                 -1148,                              0,                569400,               -381423,                    200,,,                              0,                 -1675,                              0,                 43447,                274076,,,,,                970000,             -1402055,,                              0,                              0,               -146442,                158244,                -16574,,               -508904,                 31582,                135754,              1604252,              1740006,              1740006,,                -22077,,,,                 95141,                              0,                              0,                 45275,                -50000,,,,
1715,2013年01月01日至2013年06月30日,,                382826,                382826,,,                127346,                  2328,                -15371,                 -8109,                 34065,                 -6532,                -41162,                  1415,                              0,                -52979,                              0,                              0,,,,                              0,                -78194,                  8023,               -165570,                 32308,                 16504,                    369,                -54424,                 37840,                   -473,               -203617,,,                 55704,                              0,                 -2876,                 34260,                  6174,,                  3878,                -11252,                 85888,               -117729,                -76728,                306098,                  2609,                 80265,                -24694,                -24302,                339976,,,,                 -1148,                              0,                569400,               -154348,                    537,                 47202,                              0,                              0,                              0,                              0,,                416494,,                 78669,                -50000,                              0,                920000,             -1374376,,,                              0,               -146442,,                -16073,,               -588222,                139076,                307324,              1604252,              1911576,              1911576,                              0,,                -45149,,,                 41001,                              0,                              0,,,,,,
1715,2013年01月01日至2013年03月31日,,                125592,                125592,,,                 64144,                  1309,                   -921,                 -2670,                 18676,                 -2609,                -15779,                  1115,,                              0,                              0,                              0,,,,                              0,                 -5725,                  7354,                -11024,                 37965,                 25054,                   -896,               -153618,                  9993,                   -417,                -91314,,,                 34251,                              0,                 17497,                 39882,                -19891,                              0,                 12922,                   -486,                 84175,                 -7139,                 56126,                181718,                  2609,                              0,                -18668,                -13359,                152300,,,,,                              0,                170820,                -61880,                    301,                 47202,                              0,,                -73960,,                 51680,                134163,,,                110000,                              0,                670000,             -1005916,,                              0,                              0,               -146442,,                              0,,               -377387,                 73497,                -17427,              1604252,              1586825,              1586825,,                 -5029,,,,                 63265,                              0,                              0,,,                              0,,,
1715,2012年01月01日至2012年12月31日,,                441980,                441980,,,                255046,                  6396,                  6584,                 -2231,                 90781,                -10930,                -64368,                  4371,,,                  1082,                 -7142,,,,                 33886,                -30064,                   -893,                -28837,                -43515,                 -6613,                   -265,                240441,                -73971,                  9079,                 99248,,,                -13207,                              0,                 72028,                -38725,                -29439,                 -4911,                 11403,                -21217,                -24068,                 75180,                354769,                796749,                 10930,                 67221,                -64830,                -54829,                755241,,,,               -305741,,,               -741776,                  9320,                -45275,                   -795,,,,                 21385,               -975751,,                288378,,                              0,                534755,               -239855,,               -319411,                              0,                              0,,                 -9558,,                174309,               -125792,               -171993,              1776245,              1604252,              1604252,,,                  6773,,                              0,                279589,             -1004277,              1084635,,                -80000,,,,
1715,2012年01月01日至2012年09月30日,,                361284,                361284,,,                191469,                  3810,                  5545,                -12239,                 66847,                 -8343,                -40566,                  3821,,,                  1271,                 -1754,,,,                 22593,                -83496,                  1101,                -84313,                -10435,                  2647,                   -715,                102311,                 31977,                  8752,                 -9578,,,                 61036,                  1937,                 25130,                -10455,                -69394,                 -4911,                 25356,                -20816,                  7883,                 -1695,                208166,                569450,                  8343,                 68558,                -48745,                -45471,                552135,,,,               -306133,,                              0,               -552116,                    198,                -45276,                   -795,,,,,               -818536,,              1022298,                 70000,,                664755,             -1244089,,               -328970,,                              0,                              0,,,                183994,                -15445,                -97852,              1776245,              1678393,              1678393,,                              0,                -12787,,,                209861,               -921179,              1001348,                              0,                              0,,                 18204,,
1715,2012年01月01日至2012年06月30日,,                252841,                252841,,,                128399,                  2284,,                -15398,                 48656,                 -4737,                -32255,                  1013,,,                 -1309,                     16,,,,                 15600,                -42655,                 -9966,               -141197,                  1864,                 13238,                    -93,                122294,                 19611,                  7641,                -13663,,,                 89770,                   -255,                  8271,                 -1617,                -33438,                 44193,                  6354,                -14629,                 98649,                 84986,                211655,                464496,                  4737,                              0,                -36680,                -30725,                401828,,,,,,                              0,               -313732,                    197,                -40302,,,                  9694,,,               -400029,,                621851,,,                594755,             -1220324,,,,                              0,,,,                 86282,                -35282,                 52799,              1776245,              1829044,              1829044,,,                -35606,,,                126669,               -590074,,,                 90000,                -10205,,                579999,
1715,2012年01月01日至2012年03月31日,,                137125,                137125,,,                 64906,                  1158,                    -42,                -25502,                 26130,                 -3717,                -13562,                  1747,,,,,,,,                 17601,                 -2275,                -19167,                -55068,                 -4160,                  6295,                    979,                -29227,                  6255,                  4162,                -74605,,,                 45839,                   -327,                101492,                 -3144,                -37341,                              0,                 16973,                -11976,                111516,                 36911,                 88029,                225154,                  3717,,                -19928,                -17803,                191140,,,,                              0,,                              0,               -122244,                    198,,,,,,,               -128912,,                282971,                              0,,                              0,                -40595,,,,                              0,,,,                212376,                -37049,                237555,              1776245,              2013800,              2013800,,                              0,                -43502,,,                 51118,               -229382,,                              0,                -30000,,                              0,                274497,                 -8479
