證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款增加,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 存出保證金減少,　　 收取之股利,　　 應付短期票券減少,　　 發行公司債,　　 現金增資,　　 其他籌資活動,　　 其他借款增加
8996,2015年01月01日至2015年09月30日,,                 87424,                 87424,,,                 73930,                 11827,                 70245,                 -1038,                  9514,                 -1369,                 12749,                    -28,                  3315,                 -3649,                 -1554,                  1231,                175173,,,                 -2651,                 10104,               -576764,                -83100,                  7733,                  3677,               -641001,,                -49277,                  4390,                -47670,                   -370,                 -2181,                -95108,               -736109,               -560936,               -473512,                 -6374,                -30216,               -510102,,                     28,                -25923,                     67,                    510,                -12652,               -121889,                  1369,               -158490,,                353483,                 50000,                -38662,                175000,               -105103,                    100,                -97510,                337308,                  3405,               -327879,                542095,                214216,                214216,,,,,,,,,,,,,,
8996,2015年01月01日至2015年06月30日,,                 54689,                 54689,,,                 48692,                  8130,                 18416,                 -3482,                  5937,                 -1264,                 12514,                    -28,                  2392,                 -4125,,                    260,                 87442,,,                 11346,                  6142,               -227002,                  2615,                  7236,                  3350,               -196313,,                -49825,                 17975,               -157279,                 92790,                 -1402,                -97741,               -294054,               -206612,               -151923,                 -3924,                -13916,               -169763,,                     28,                -13879,                     67,                    426,                 -9999,               -113147,                  1264,               -135240,,,                 50000,,                100000,                -19041,                    100,,                239707,                 -3761,                -69057,                542095,                473038,                473038,                108648,,,,,,,,,,,,,
8996,2015年01月01日至2015年03月31日,,                 40391,                 40391,,,                 24226,                  4357,                    488,                   -944,                  2781,                 -1008,                 11147,,                  1964,                    -82,,                 -1150,                 41779,,,                    878,                 11796,                -47915,                 43602,                   -656,                  6859,                 14564,,                -58607,                  8489,                -62602,                 -4787,                   -809,               -118316,               -103752,                -61973,                -21582,                 -1484,                   -679,                -23745,,,                 -5958,,                    -72,                 -5960,                -24946,                  1008,                -35928,,                 -6653,,,                100000,                -17855,,,                 75492,                 -1586,                 14233,                542095,                556328,                556328,,,,,,,,,,,,,,
8996,2014年度,,                238897,                238897,,,                 88096,                 22478,                 -1970,                 -2776,                 10819,                 -2348,                  4477,,                  2589,,,,,,,                -26607,                 -1785,                -45560,                 62698,                 -6509,                -22680,                -40443,,                 12795,                -10505,                 23772,                 -1097,,                 21579,                -18864,                114900,                353797,                 -7663,                -31134,                315000,,,                -32433,                     98,,                -24137,               -137263,                  2348,               -189109,,                              0,,,                100000,                -76217,,                -92867,                 76474,                  6056,                208421,                333674,                542095,                542095,                145558,,                    -75,                              0,                 12474,                133764,                 -3386,                  2203,                     75,                              0,                              0,                              0,                              0,
8996,2014年01月01日至2014年09月30日,,                199270,                199270,,,                 65586,                 13298,                  9395,                   -763,                  7823,                 -1309,                  4496,                              0,                  2633,                  5661,                              0,                 -1150,                105670,,,                -42728,                  3984,               -300635,                 89700,                -14455,                 -3432,               -267566,,                    126,                 10254,                -10597,                 -2276,                 -2279,                 -4772,               -272338,               -166668,                 32602,                 -5194,                -29511,                 -2103,,                              0,                -23209,                     58,                    569,                -16305,               -114748,                  1309,               -152326,,                166344,                 39970,                              0,                100000,                -75026,                              0,                -92867,                138421,                    928,                -15080,                333674,                318594,                318594,,,,,,,,,,,,,,
8996,2014年01月01日至2014年06月30日,,                148342,                148342,,,                 42915,                  7108,                 -2009,                    108,                  4990,                 -1164,                  4409,                              0,                     68,                   -739,,                 -1530,                 54156,,,                 -4728,                  5446,               -116736,                123533,                    853,                 -1781,                  6587,,                  2627,                 10987,               -109084,                 93530,                 -1524,                 -3464,                  3123,                 57279,                205621,                 -3401,                -12703,                189517,,                              0,                -15140,                              0,                   -456,                -10459,               -101428,                  1164,               -126319,,,                              0,,                100000,                -20844,                              0,,                 41295,                 -2882,                101611,                333674,                435285,                435285,                -37861,,,,,,,,,,,,,
8996,2014年01月01日至2014年03月31日,,                 59930,                 59930,,,                 20719,                  3168,                   -282,                    -34,                  2468,                   -942,                  4409,,                    270,                 -3897,,                 -1340,                 24539,,,                -14783,                    489,               -104611,                129379,                 -6460,                 -1912,                  2102,,                -48723,                -14778,                -44428,                  2033,                   -772,               -106668,               -104566,                -80027,                -20097,                 -1816,                    -40,                -21953,,,                 -5943,,                   -936,                 -2343,                -54876,                    942,                -63156,,                -77849,,,                100000,                -18750,,,                  3401,                   -216,                -81924,                333674,                251750,                251750,,,,,,,,,,,,,,
8996,2013年度,,                185905,                185905,,,                 81207,                 13405,                 -2266,                    177,                  9329,                 -1458,                    -11,,                  1492,,,,,,,                 -9419,                  1131,                112839,               -184614,                 18986,                 -6184,                -67261,,                 14891,                 -3729,                 10918,                 12574,,                 31425,                -35836,                 92172,                278077,                 -7851,                -23882,                246344,,,                -30418,                  8794,,                -18846,                -90938,                  1458,               -130124,,                -97909,,,                 80000,                -66943,,                -69894,                  4178,                  6368,                126766,                206908,                333674,                333674,                              0,,                              0,                  7727,                 18406,                128008,                 -3229,                   -174,                              0,               -129999,                 97403,                192000,                   -480,
8996,2013年01月01日至2013年12月31日,,                185905,                185905,,,                 81207,                 13405,                 -2266,                    177,                  9329,                 -1458,                    -11,,                  1492,                 -2684,,,,,,                 -9419,                  1131,                112839,               -184614,                 18986,                 -6184,                -67261,,                 14891,                 -3729,                 10918,                 12574,,                 31425,                -35836,                 92172,                278077,                 -7851,                -23882,                246344,,,                -30418,                  8794,,                -18846,                -90938,                  1458,               -130124,,                -97909,                              0,,                 80000,                -66943,,                -69894,                  4178,                  6368,                126766,                206908,                333674,                333674,                              0,,                              0,                  7727,                 21090,                128008,                 -3229,                   -174,                              0,               -129999,                 97403,                192000,                   -480,                              0
8996,2013年01月01日至2013年09月30日,,                156099,                156099,,,                 60700,                  9973,                 -3847,                    116,                  6809,                 -1252,                 -3957,,                  2782,,,                    230,,,,                -20765,                 -1102,                -15954,               -192293,                 -7883,                  1649,               -236348,,                 28649,                 21390,                 -1798,                  2355,,                 48011,               -188337,                -92297,                 63802,                 -6595,                -19978,                 37229,,,                -24218,                  8891,,                -15369,                -63725,                  1252,                -93150,,,                              0,,                 80000,                -48220,,                -69894,                228552,                  2116,                174747,                206908,                381655,                381655,                 77743,,,                  7727,                 16759,                 96040,                 -2585,                     19,,               -100000,                 97403,                192000,                   -480,
8996,2013年01月01日至2013年06月30日,,                111774,                111774,,,                 40744,                  6474,                 -4735,                     33,                  4254,                   -803,                 -2381,,                  2983,,,,,,,                -20774,                 -7610,                 43313,                -83766,                -12333,                 -5526,                -86696,,                 34304,                 22622,                -67757,                 80884,,                 68345,                -18351,                 37032,                148806,                 -4262,                 -9730,                134814,,,                -21037,                  3165,                              0,                -10913,                -36774,                    803,                -64422,,                              0,,,                 80000,                -46167,,,                -69306,                  5543,                  6629,                206908,                213537,                213537,                 26861,,,,                  8814,                 55383,                 -1708,                    334,,               -130000,,,,
8996,2013年01月01日至2013年03月31日,,                 56297,                 56297,,,                 20340,                  2995,                  3920,                     41,                  1999,                    -95,                     85,,                  1483,                              0,,,,,,                -12861,                   -598,                -74180,                 -3257,                 -6853,                 -2451,               -100200,,                -20020,                 14883,                -28977,                  6956,,                -28094,               -128294,                -97287,                -40990,                 -1697,                              0,                -42687,,,                 -4975,                    163,                              0,                 -6000,                 -3967,                     95,                -14609,,                              0,,,                 80000,                -27464,,,                 84471,                  3910,                 31085,                206908,                237993,                237993,                161935,,,,                    239,                 31007,                   -936,                     75,,               -130000,,,,
8996,2012年01月01日至2012年12月31日,,                158702,                158702,,,                 84051,                 10762,                  2418,                   -402,                  8544,                   -993,                    476,,                              0,                 -1729,,,,,,                 -1652,                  9781,                -28999,               -162905,                -11008,                  2169,               -192614,,                 34993,                 26522,                 12650,                  3422,,                 73984,               -118630,                 -9025,                149677,                 -8184,                -11440,                130053,,,                -11657,                  4970,,                -14832,                -52602,                    993,                -71038,,                              0,                129783,,                 10000,               -104379,,                -66566,                -15928,                 -3843,                 39244,                167664,                206908,                206908,                115089,,                   -152,                              0,                  6630,                109605,                 -3603,                  1938,                    152,                              0,                              0,                              0,                              0,                -99855
8996,2012年01月01日至2012年09月30日,,                137419,                137419,,,                 62748,                  7991,                 -2234,                   -331,                  6610,                   -851,                    476,,                              0,                 -1021,,,,,,                 -9727,                  1341,                 97078,               -127376,                -12909,                 -3081,                -54674,,                 23016,                  8047,                 -9816,                -61591,,                -43051,                -97725,                -17822,                119597,                 -6204,                -10914,                102479,,,                -10260,                  4970,,                 -9791,                -49930,                    851,                -63396,,,                 49931,,                 10000,                -69843,,                              0,                 18505,                 -4623,                 52965,                167664,                220629,                220629,                 28417,,                   -152,                              0,                  6667,                 79903,                 -2707,                    612,                    152,                              0,                              0,                              0,                              0,
8996,2012年01月01日至2012年06月30日,,                 68750,                 68750,,,                 40949,                  5417,                  2268,                     16,                  4384,                   -727,                    476,,                              0,,,,,,,                -28000,                    703,                 35510,               -127164,                    379,                   -675,               -119247,,                  3994,                  3121,                -17682,                 12478,,                     88,               -119159,                -64344,                  4406,                 -4373,                 -4599,                 -4566,,,                -83592,                              0,                    -26,                 -7374,                 37036,                    727,                -53229,,,                 49892,,                 10000,                -51971,,                              0,                 81537,                 -2522,                 21220,                167664,                188884,                188884,                 73616,,,,                  2032,                 54815,                 -1823,                              0,,                              0,,,,
8996,2012年01月01日至2012年03月31日,,                 31434,                 31434,,,                 20151,                  2688,                  6925,                              0,                  2175,                   -212,                     60,,                              0,,,,,,,                              0,                  6733,                   -521,                -55243,                -19307,                 -1423,                -69761,,                  2132,                 28540,                -36329,                  1917,,                 -4643,                -74404,                -39655,                 -8221,                 -1986,                   -100,                -10307,,,                 -2806,                              0,                    -31,                 -6856,                -28661,                    212,                -38142,,,                 10000,,                 10000,                -17862,,,                 39518,                 -2530,                -11461,                167664,                156203,                156203,                 37380,,,,                  2962,                 34749,                   -903,                              0,,                              0,,,,
