公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動負債增加,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 其他非流動資產減少,　　 其他金融資產減少,　　 應付短期票券減少,　　　　 非金融資產減損迴轉利益
6108,2015年01月01日至2015年09月30日,,-188454,-188454,,,445704,3932,26523,0.0,78634,-53919,-3546.0,16281,7.0,29778.0,543394.0,,,-2221.0,8307,336020,-136225,-78944,-35659,91278,,-9899.0,6223,-60018,-73888,13914,-1073,-124741,-33463,509931,321477,40154,-77221,-61052,223358,,0.0,-621970,290103,-609.0,-1329483.0,-61938.0,3546.0,-1720351,,9534165,-8014330.0,50051.0,-2500.0,786941,-513134,-626.0,-175889.0,1664678,116678,284363,1398869,1683232,1683232,,,,,,,,
6108,2015年01月01日至2015年06月30日,,-98589,-98589,,,300582,2600,22712,,50229,-30844,-3546.0,11218,7.0,18320.0,371278.0,,,2460.0,4495,581649,24781,-40177,-43970,529238,,-9727.0,23178,-222913,-58079,8158,-725,-260108,269130,640408,541819,26368,-49144,-18463,504126,,,-442308,155217,-618.0,-858606.0,-78269.0,3546.0,-1224584,,1369052,,75.0,-2500.0,391380,-377235,-476.0,,1380296,-43004,616834,1398869,2015703,2015703,,,,,,,,
6108,2015年01月01日至2015年03月31日,,-44454,-44454,,,160022,1232,9566,,23490,-12512,,5411,7.0,12173.0,199389.0,,,1892.0,7665,442724,-6406,-61051,-66989,317835,,-9038.0,-3532,-128473,-21550,5509,-362,-157446,160389,359778,315324,12512,-23489,-9403,294944,,,-183456,145378,-626.0,-643959.0,8391.0,,-674272,,580149,,106.0,-2500.0,319100,-91950,,,804687,-27729,397630,1398869,1796499,1796499,-218.0,,,,,,,
6108,2014年度,,410346,410346,,,614509,4994,25418,,86943,-60923,-2370.0,3490,952.0,,,,,28928.0,-7432,-372454,16581,29073,19424,-285880,,8194.0,51754,-743,22312,-28118,-730,52669,-233211,493990,904336,49245,-94552,-102290,756739,,4338.0,-415387,9804,-1121.0,-42118.0,,2370.0,-455676,,-961379,,19886.0,-67431.0,1518265,-949707,-896.0,-143909.0,-585171,7339,-276769,1675638,1398869,1398869,,,54188.0,727201.0,-13562.0,,,
6108,2014年01月01日至2014年09月30日,,399868,399868,,,454801,3502,10302,-1386.0,77260,-43877,-2370.0,2644,0.0,0.0,500876.0,,,28382.0,1819,-476233,32673,-20849,-2812,-437020,,8505.0,35308,-80867,48031,14314,-562,24729,-412291,88585,488453,34730,-67799,-131150,324234,,4338.0,-241211,927,0.0,-446720.0,-18003.0,2370.0,-698299,,88542,0.0,19996.0,0.0,545894,-429815,0.0,-143909.0,80708,-43107,-336464,1675638,1339174,1339174,,,,,,,,
6108,2014年01月01日至2014年06月30日,,220248,220248,,,302851,2339,1732,,51055,-29231,-2270.0,2364,0.0,0.0,328840.0,,,13838.0,-3644,-199359,26411,49073,22040,-91641,,16343.0,23899,-141002,49989,-19806,-384,-70961,-162602,166238,386486,23012,-50914,-80174,280680,,,-174936,375,0.0,-421562.0,-19161.0,2270.0,-615284,,140502,,-142.0,0.0,167500,-144541,0.0,,163319,-58125,-229410,1675638,1446228,1446228,,,,,,,,
6108,2014年01月01日至2014年03月31日,,134385,134385,,,151673,1173,-10512,,25630,-15307,,2319,0.0,0.0,154976.0,,,24216.0,8573,-56123,-16202,-86513,4963,-121086,,26783.0,5485,36151,24976,-12735,-192,80468,-40618,114358,248743,10440,-19304,-25397,214482,,,-81142,314,0.0,-346817.0,-13723.0,,-441368,,1648,,-50062.0,0.0,94597,-83145,,,-36269,-54972,-318127,1675638,1357511,1357511,693.0,,,,,,,
6108,2013年度,,214246,214246,,,562655,5033,15522,,55618,-25964,-3110.0,6840,-3776.0,,,,,-36490.0,23003,-386197,297766,-196340,-5414,-303672,,4091.0,11353,286603,161105,7602,-1386,469368,165696,778514,992760,19544,-52629,-48844,910831,,0.0,-1099524,8289,-1952.0,-692854.0,,3110.0,-1769427,,806607,,99963.0,-290133.0,1072481,-479456,-223.0,-223859.0,985380,141557,268341,1407297,1675638,1675638,,,0.0,612818.0,13504.0,,,
6108,2013年01月01日至2013年12月31日,,214246,214246,,,562655,5033,15522,,55618,-25964,-3110.0,6840,-3776.0,,,,,-36490.0,23003,-386197,297766,-196340,-5414,-303672,,4091.0,11353,286603,161105,7602,-1386,469368,165696,778514,992760,19544,-52629,-48844,910831,,,-1099524,8289,-1952.0,-692854.0,,3110.0,-1769427,,806607,,99963.0,-290133.0,1072481,-479456,-223.0,-223859.0,985380,141557,268341,1407297,1675638,1675638,0.0,,,612818.0,13504.0,,,0.0
6108,2013年01月01日至2013年09月30日,,209564,209564,,,409980,3456,-30,3943.0,48961,-14018,-3110.0,3351,,,,,,-39813.0,1104,-341990,321658,-127405,-23439,-209885,,-2223.0,38665,212287,102838,26416,-1368,376615,166730,619263,828827,13903,-47845,-65229,729656,,0.0,-900681,14236,,-441557.0,-15620.0,3110.0,-1340512,,564146,,39953.0,,1068004,-420544,,-223859.0,1027700,59540,476384,1407297,1883681,1883681,,,,452533.0,,,,
6108,2013年01月01日至2013年06月30日,,111635,111635,,,260147,2299,-1335,,29633,-4895,0.0,2493,,,,,,-30107.0,5464,-419449,227893,-110627,-45180,-372006,,2328.0,55149,196678,187273,2928,-913,443443,71437,359779,471414,2896,-29735,-37205,407370,,,-608894,1180,,0.0,-1808.0,0.0,-553006,,609860,,89915.0,,575767,-190902,,,1084640,44147,983151,1407297,2390448,2390448,,,,288342.0,,56516.0,0.0,
6108,2013年01月01日至2013年03月31日,,101729,101729,,,125668,1142,2846,,14255,-1542,,216,,,,,,-4945.0,18993,-107596,143652,-166348,-38437,-154681,,1417.0,17145,221454,122569,11255,-403,373437,218756,361341,463070,584,-13891,-13925,435838,,,-368322,0,,-631.0,0.0,,-358260,,147229,,,,208775,-77277,,,278710,-48317,307971,1407297,1715268,1715268,0.0,,,142585.0,10693.0,,-17.0,
6108,2012年01月01日至2012年12月31日,,594144,594144,,,481429,4584,883,,42771,-8674,-860.0,-22760,0.0,,,,,15612.0,-44484,424328,-28729,-87822,2678,281583,,-4552.0,-20908,-174119,-11844,52930,-401,-158894,122689,561179,1155323,8599,-44522,-112033,1007367,,,-877540,46268,0.0,-19259.0,,860.0,-834989,,-171680,,89947.0,0.0,721787,-303058,0.0,-191879.0,146471,-98996,219853,1187444,1407297,1407297,1354.0,,,438490.0,14682.0,,,-58883.0
6108,2012年01月01日至2012年09月30日,,439149,439149,,,346986,3454,-1094,-6020.0,51590,-6735,-860.0,5065,,,,,,,-43822,110581,17998,-180940,-69848,-166031,,,2082,-29598,-9318,22224,-805,-15415,-181446,210940,650089,6744,-52396,-120366,484071,,,-733389,856,,0.0,,860.0,-707094,,205937,,69921.0,,210000,-19788,,-191879.0,274191,-8541,42627,1187444,1230071,1230071,,,,392386.0,24579.0,,,
6108,2012年01月01日至2012年06月30日,,325483,325483,,,228316,2299,1946,3952.0,35043,-4583,,4444,,,,,,,-25104,-107069,20325,-179604,-90112,-381564,,,10981,89007,46485,18779,112,165364,-216200,55217,380700,4484,-34061,-61537,289586,,,-582821,856,,,,,-553143,,-66409,,19959.0,,210000,-135595,,,27955,21750,-213852,1187444,973592,973592,,,,271417.0,28822.0,,,
6108,2012年01月01日至2012年03月31日,,108595,108595,,,109877,1151,4747,-4190.0,17685,-1195,,3600,,,,,,,-1033,152138,11097,-121205,8396,49393,,,-13636,-29184,16263,41277,-383,14337,63730,195405,304000,1193,-17020,-18858,269315,,,-364094,623,,,,,-341728,,-52199,,19975.0,,160000,-52793,,,74983,-7774,-5204,1187444,1182240,1182240,,,,131675.0,21743.0,,,
