1445 2015 3,1445 2015 2,1445 2015 1,1445 2014 4,1445 2014 3,1445 2014 2,1445 2014 1,1445 2013 4,1445 2013 3,1445 2013 2,1445 2013 1,1524 2014 4,1524 2014 3,1524 2013 3,1524 2013 2,1524 2013 1,1529 2015 3,1529 2015 2,1529 2015 1,1529 2014 4,1529 2014 3,1529 2014 2,1529 2014 1,1529 2013 4,1529 2013 3,1529 2013 2,1529 2013 1,1617 2015 3,1617 2015 2,1617 2015 1,1617 2014 4,1617 2014 3,1617 2014 2,1617 2014 1,1617 2013 4,1617 2013 3,1617 2013 2,1617 2013 1,2103 2014 2,2103 2014 1,2324 2015 3,2324 2015 2,2324 2015 1,2324 2014 4,2324 2014 3,2324 2014 2,2324 2014 1,2324 2013 3,2324 2013 2,2324 2013 1,2437 2015 3,2437 2015 2,2437 2014 3,2437 2014 2,2465 2015 4,2465 2015 3,2465 2015 2,2465 2015 1,2465 2014 4,2465 2014 3,2465 2014 2,2465 2014 1,2465 2013 4,2465 2013 3,2465 2013 2,2465 2013 1,2535 2015 3,2535 2015 2,2535 2015 1,2535 2014 4,2535 2014 3,2535 2014 2,2535 2014 1,2535 2013 4,2535 2013 3,2535 2013 2,2535 2013 1,2882 2015 3,2882 2015 2,2882 2015 1,2882 2014 4,2882 2014 3,2882 2014 2,2882 2014 1,2882 2013 4,2882 2013 3,2882 2013 2,2883 2015 3,2883 2015 2,2883 2015 1,2883 2014 4,2883 2014 3,2883 2014 2,2883 2014 1,2883 2013 4,2883 2013 3,2884 2015 3,2884 2015 2,2884 2015 1,2884 2014 4,2884 2014 3,2884 2014 2,2884 2014 1,2884 2013 3,2884 2013 2,2884 2013 1,2886 2015 1,2886 2014 4,2886 2014 1,2886 2013 4,2886 2013 3,2886 2013 1,2887 2015 1,2887 2013 1,2888 2013 4,2889 2015 3,2889 2015 2,2889 2015 1,2889 2014 4,2889 2014 3,2889 2014 2,2889 2014 1,2890 2015 3,2890 2015 2,2890 2015 1,2890 2014 4,2890 2014 3,2890 2014 2,2890 2014 1,2890 2013 4,2890 2013 3,2890 2013 2,2890 2013 1,2892 2015 3,2892 2015 2,2892 2015 1,2892 2014 4,2929 2013 3,2929 2013 2,2929 2013 1,3665 2015 3,3665 2015 2,3665 2015 1,3665 2014 4,3665 2014 3,3665 2014 2,3665 2014 1,3665 2013 4,3665 2013 3,3665 2013 2,3665 2013 1,4536 2014 4,4536 2014 3,4536 2014 2,4536 2014 1,4536 2013 4,4536 2013 3,4536 2013 2,4536 2013 1,5234 2015 3,5234 2015 2,5234 2015 1,5234 2014 4,5234 2014 3,5234 2014 2,5234 2014 1,5234 2013 4,5234 2013 3,5234 2013 2,5234 2013 1,5871 2015 3,5871 2015 2,5871 2015 1,5871 2014 4,5871 2014 3,5871 2014 2,5871 2014 1,5871 2013 4,5871 2013 3,5871 2013 2,5871 2013 1,6005 2013 4,6005 2013 3,6133 2015 3,6133 2015 2,6133 2014 3,6133 2014 2,6133 2013 3,6133 2013 2,6133 2013 1,6184 2013 3,6184 2013 2,6184 2013 1
　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 文具用品,　　　 文具用品,　　　 旅費,　　　 薪資支出,　　　 文具用品,　　　 文具用品,　　　 租金支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 共同控制下前手權益,　　 繼續營業單位稅後淨利（淨損）,　　 共同控制下前手權益,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 共同控制下前手權益,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 共同控制下前手權益,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　 繼續營業單位稅後淨利（淨損）,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 利息收入,　　　 利息收入,　　　 利息收入,　　　 利息收入,　　　 利息收入,　　　 利息收入,　　　 利息收入,　　　 利息收入,　　　 利息收入,　　　 利息收入,　　　 利息收入,　　 繼續營業單位淨利（損）,　　 繼續營業單位淨利（損）,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用
　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 租金支出,　　　 旅費,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 文具用品,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 旅費,　　　 旅費,　　　 交際費,　　　 文具用品,　　　 旅費,　　　 旅費,　　　 旅費,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,　　 繼續營業單位稅後淨利（淨損）,,,,,,,,,,,,,,,,,,,,,,,,,　　 繼續營業單位稅後淨利（淨損）,,,,,,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 租金支出,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,,,,,,,,,,,,,,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,,,
　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 郵電費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 文具用品,　　　 文具用品,　　　 旅費,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 旅費,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 旅費,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,,,,,,,,,,,,,,,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 郵電費,　　　 郵電費,　　　 其他費用,　　　 旅費,　　　 郵電費,　　　 郵電費,　　　 交際費,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,　　　 文具用品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　 郵電費,　　　 郵電費,　　　 郵電費,　　　 郵電費,　　　 郵電費,　　　 郵電費,　　　 郵電費,　　　 郵電費,　　　 郵電費,　　　 郵電費,　　　 郵電費,　　　 郵電費,　　　 修繕費,　　　 郵電費,　　　 郵電費,　　　 郵電費,　　　 旅費,　　　 旅費,　　　 郵電費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 郵電費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 運費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,,,,,,,,,,,,,,,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 廣告費,　　　 廣告費,,　　　 郵電費,　　　 保險費,　　　 水電瓦斯費,　　　 其他費用,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,　　　 旅費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　 修繕費,　　　 修繕費,　　　 修繕費,　　　 修繕費,　　　 修繕費,　　　 修繕費,　　　 修繕費,　　　 修繕費,　　　 修繕費,　　　 修繕費,　　　 修繕費,　　　 修繕費,　　　 廣告費,　　　 修繕費,　　　 修繕費,　　　 修繕費,　　　 運費,　　　 運費,　　　 修繕費,　　　 運費,　　　 運費,　　　 運費,　　　 保險費,　　　 運費,　　　 運費,　　　 運費,　　　 郵電費,　　　 郵電費,　　　 郵電費,　　　 郵電費,　　　 郵電費,　　　 郵電費,　　　 郵電費,　　　 郵電費,　　　 郵電費,　　　 郵電費,　　　 郵電費,　　　 郵電費,　　　 郵電費,　　　 郵電費,,,,,,,,,,,,,,,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 保險費,　　　 保險費,,　　　 交際費,　　　 交際費,　　　 保險費,,　　　 郵電費,　　　 運費,　　　 運費,　　　 運費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 運費,　　　 運費,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
