證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計
1201,2014年第3季,,              7767524,,              5561508,              2206016,              2206016,,,              1617157,,                280602,,                 81009,              1978768,                227248,,,                 48988,,               -259417,,                 64344,,                  2001,               -272772,                -45524,,                 43946,                -89470,,,                -89470,,                 84903,                    128,,                              0,                 85031,                 -4439,,                -56595,                -32875,,                 21959,                -26398,,                             -0.11,,                             -0.11
1201,2014年第2季,,              7384987,,              5164112,              2220875,              2220875,,,              1508393,,                282518,,                 66943,              1857854,                363021,,,                 55294,,                -60534,,                 64286,,                  2669,                -66857,                296164,,                156726,                139438,,,                139438,,                -45936,                    282,,,                -45654,                 93784,,                175492,                -36054,,                133891,                -40107,,                              0.35,,                              0.35
1201,2014年度,,             26469174,,             18931673,              7537501,              7537501,,,              5723501,,              1100416,,                283160,              7107077,                430424,,,                177402,,               -533327,,                248982,,                  3808,               -601099,               -170675,,                147686,               -318361,,                -59561,               -377922,,                247883,                  4377,               -159953,                 11243,                 81064,               -296858,,               -244138,               -133784,,               -180185,               -116673,,                             -0.42,                             -0.06,                             -0.48
1201,2014年01月01日至2014年09月30日,,             21764292,,             15277530,              6486762,              6486762,,,              4451538,,                831933,,                216002,              5499473,                987289,,,                132452,,               -362493,,                192313,,                  8310,               -414044,                573245,,                285056,                288189,,,                288189,,                 19761,                  5072,,                              0,                 24833,                313022,,                375283,                -87094,,                399165,                -86143,,                              0.74,,                              0.74
1201,2014年01月01日至2014年06月30日,,             13996768,,              9716022,              4280746,              4280746,,,              2834381,,                551331,,                134993,              3520705,                760041,,,                 83464,,               -103076,,                127969,,                  6309,               -141272,                618769,,                241110,                377659,,,                377659,,                -65142,                  4944,,,                -60198,                317461,,                431878,                -54219,,                377206,                -59745,,                              0.85,,                              0.85
1201,2014年01月01日至2014年03月31日,,              6611781,,              4551910,              2059871,              2059871,,,              1325988,,                268813,,                 68050,              1662851,                397020,,,                 28170,,                -42542,,                 63683,,                  3640,                -74415,                322605,,                 84384,                238221,,,                238221,,                -19206,                  4662,,,                -14544,                223677,,                256386,                -18165,,                243315,                -19638,,                              0.51,,                              0.51
1201,2013年第3季,,              8261655,,              5565045,              2696610,              2696610,,,              2021824,,                216846,,                 58222,              2296892,                399718,,,                 57869,,                -37895,,                 62377,,                  3244,                -39159,                360559,,                113448,                247111,,,                247111,,                -49016,                    915,,                    373,                -48474,                198637,,                281954,                -34843,,                236893,                -38256,,                              0.56,,                              0.56
1201,2013年第2季,,              7577631,,              5166785,              2410846,              2410846,,,              1739379,,                260047,,                 63817,              2063243,                347603,,,                 32524,,                 41153,,                 59800,,                  6127,                 20004,                367607,,                157936,                209671,,,                209671,,                 82373,                    133,,,                 82506,                292177,,                256911,                -47240,,                324922,                -32745,,                              0.51,,                              0.51
1201,2013年度,,             29200402,,             19976484,              9223918,              9223918,,,              6618369,,              1068657,,                239724,              7926750,              1297168,,,                244348,,               -210605,,                241190,,                 16891,               -190556,              1106612,,                402662,                703950,,                              0,                703950,,                219379,                  2525,                -86539,                 11757,                123608,                827558,,                872887,               -168937,,                972832,               -145274,,                              1.72,                              0.00,                              1.72
1201,2013年07月01日至2013年09月30日,,              8261655,,              5565045,              2696610,              2696610,,,              2021824,,                216846,,                 58222,              2296892,                399718,,,                 57869,,                -37895,,                 62377,,                  3244,                -39159,                360559,,                113448,                247111,,,                247111,,                -49016,                    915,,                    373,                -48474,                198637,,                281954,                -34843,,                236893,                -38256,,                              0.56,,                              0.56
1201,2013年04月01日至2013年06月30日,,              7577631,,              5166785,              2410846,              2410846,,,              1739379,,                260047,,                 63817,              2063243,                347603,,,                 45481,,                 28196,,                 59800,,                  6127,                 20004,                367607,,                157936,                209671,,,                209671,,                 82373,                    133,,,                 82506,                292177,,                256911,                -47240,,                324922,                -32745,,                              0.51,,                              0.51
1201,2013年01月01日至2013年12月31日,,             29200402,,             19976484,              9223918,              9223918,,,              6618369,,              1068657,,                239724,              7926750,              1297168,,,                244348,,               -210605,,                241190,,                 16891,               -190556,              1106612,,                402662,                703950,,,                703950,,                219379,                  2525,                -86539,                 11757,                123608,                827558,,                872887,               -168937,,                972832,               -145274,,                              1.72,,                              1.72
1201,2013年01月01日至2013年09月30日,,             22540133,,             15258259,              7281874,              7281874,,,              5248888,,                731537,,                177342,              6157767,              1124107,,,                144122,,                -23404,,                180075,,                 15073,                -44284,              1079823,,                375927,                703896,,,                703896,,                130325,                  1115,,                    373,                131067,                834963,,                832048,               -128152,,                952033,               -117070,,                              1.64,,                              1.64
1201,2013年01月01日至2013年06月30日,,             14278478,,              9693214,              4585264,              4585264,,,              3227064,,                514691,,                119120,              3860875,                724389,,,                 86253,,                 14491,,                117698,,                 11829,                 -5125,                719264,,                262479,                456785,,,                456785,,                179341,                    200,,,                179541,                636326,,                550094,                -93309,,                715140,                -78814,,                              1.09,,                              1.09
1201,2013年01月01日至2013年03月31日,,              6700847,,              4526429,              2174418,              2174418,,,              1487685,,                254644,,                 55303,              1797632,                376786,,,                 53729,,                -26662,,                 57898,,                  5702,                -25129,                351657,,                104543,                247114,,,                247114,,                 96968,                     67,,,                 97035,                344149,,                293183,                -46069,,                390218,                -46069,,                              0.58,,                              0.58
1201,2012年07月01日至2012年09月30日,,              7412088,,              5125510,              2286578,              2286578,,,              1626944,,                231382,,                 56844,              1915170,                371408,,,                 19248,,                -20989,,                 52467,,                    816,                -53392,                318016,,                103039,                214977,,,                214977,,                -75572,                    250,,                              0,                -75322,                139655,,                254785,                -39808,,                184785,                -45130,,                              0.50,,                              0.50
1201,2012年04月01日至2012年06月30日,,              6869438,,              4777066,              2092372,              2092372,,,              1498469,,                213414,,                 55066,              1766949,                325423,,,                 59641,,                -43766,,                 40925,,                 -1708,                -26758,                298665,,                149627,                149038,,,                149038,,                 18651,                 -2060,,,                 16591,                165629,,                188035,                -38997,,                210753,                -45124,,                              0.37,,                              0.37
1201,2012年01月01日至2012年12月31日,,             26631297,,             18157496,              8473801,              8473801,,,              6140566,,                941041,,                209184,              7290791,              1183010,,,                193032,,               -120562,,                178126,,                 -2458,               -108114,              1074896,,                441110,                633786,,,                633786,,               -104643,                -16903,                -66225,                 -6849,               -180922,                452864,,                809351,               -175565,,                637831,               -184967,,                              1.60,,                              1.60
1201,2012年01月01日至2012年09月30日,,             20288940,,             13982701,              6306239,              6306239,,,              4461989,,                688927,,                160352,              5311268,                994971,,,                143525,,                -83400,,                129437,,                 -4086,                -73398,                921573,,                335402,                586171,,,                586171,,               -131789,                   -990,,                   -313,               -132466,                453705,,                691825,               -105654,,                570808,               -117103,,                              1.37,,                              1.37
1201,2012年01月01日至2012年06月30日,,             12876852,,              8857191,              4019661,              4019661,,,              2835045,,                457545,,                103508,              3396098,                623563,,,                124277,,                -62411,,                 76970,,                 -4902,                -20006,                603557,,                232363,                371194,,,                371194,,                -56217,                   -927,,,                -57144,                314050,,                437040,                -65846,,                386023,                -71973,,                              0.86,,                              0.86
1201,2012年01月01日至2012年03月31日,,              6007414,,              4080125,              1927289,              1927289,,,              1336576,,                244131,,                 48442,              1629149,                298140,,,                 64636,,                -18645,,                 36045,,                 -3194,                  6752,                304892,,                 82736,                222156,,,                222156,,                -74868,                  1133,,,                -73735,                148421,,                249005,                -26849,,                175270,                -26849,,                              0.49,,                              0.49
