公司代號,公司名稱,利息收入,減：利息費用,利息淨收益,利息以外淨收益,淨收益,呆帳費用,收回(提存)各項保險責任準備淨額,營業費用,繼續營業單位稅前合併淨利(淨損),所得稅(費用)利益,繼續營業單位稅後合併淨利(淨損),停業單位損益,非常損益(稅後),會計原則變動之累積影響數(稅後),合併總損益,合併總損益歸屬予_母公司股東,合併總損益歸屬予_少數股權,基本每股盈餘,稀釋每股盈餘
"2880","華南金",7341603,2639365,4702238,3272547,7974785,905247,-93901,4511939,2463698,-427936,2035762,0,0,0,2035762,2035756,6,0.31,0.00
"2881","富邦金",17288327,2604964,14683363,29005275,43688638,-442828,0,9753273,10204541,-1017682,9186859,0,0,0,9186859,9046690,140169,1.06,1.06
"2882","國泰金",28200069,2792858,25407211,39598619,65005830,52733,-52061726,11798277,1093094,817183,1910277,0,0,0,1910277,1892534,17743,0.19,0.00
"2883","開發金",926127,467357,458770,1531586,1990356,113330,0,1232911,644115,-44134,599981,0,0,0,599981,593716,6265,0.05,0.00
"2884","玉山金控",4938606,1825220,3113386,1731647,4845033,574798,0,2631838,1638397,-224801,1413596,0,0,0,1413596,1413596,0,0.37,0.35
"2885","元大金",3003141,745439,2257702,4961103,7218805,-320116,0,4219054,3319867,-416032,2903835,0,0,0,2903835,2788434,115401,0.35,0.34
"2886","兆豐金",9333336,2837924,6495412,4818675,11314087,387606,-54078,4865936,6006467,-1310267,4696200,0,0,0,4696200,4693079,3121,0.42,0.42
"2887","台新金控",10156435,3944921,6211514,6460986,12672500,759425,0,6854175,5058900,-774015,4284885,0,0,0,4284885,2700091,1584794,0.40,0.34
"2888","新光金",13116127,895140,12220987,-8069209,4151778,-275251,2434023,4958171,1902881,-428488,1474393,0,0,0,1474393,1301414,172979,0.15,0.00
"2889","國票金控",700822,235879,464943,2173535,2638478,176752,0,961815,1499911,-114220,1385691,0,0,0,1385691,1407610,-21919,0.62,0.00
"2890","永豐金控",5969599,2195626,3773973,2424629,6198602,459584,0,3868544,1870474,-377026,1493448,0,0,0,1493448,1493448,0,0.21,0.21
"2891","中信金",9075332,2600683,6474649,7913556,14388205,82587,0,8462406,5843212,-955398,4887814,0,0,0,4887814,4885869,1945,0.47,0.00
"2892","第一金控",7950693,2696110,5254583,3131334,8385917,1353031,-244651,4293012,2495223,-494925,2000298,0,0,0,2000298,2015993,-15695,0.31,0.00