公司代號,公司名稱,營業收入,營業成本,營業毛利,營業費用,營業利益,營業外收入及利益,營業外費用及損失,繼續營業單位稅前淨利,所得稅費用(利益),繼續營業單位稅後淨利,停業單位損益,非常損益,會計原則變動之累積影響數,合併總損益,合併淨損益,少數股權損益,每股稅後盈餘,換算匯率,換算匯率參考依據
"910322","康師傅",193368808,142287467,51081341,35358051,15723290,3616910,631607,18708593,4537009,14171584,0,0,0,14171584,10961400,3210184,1.96,US$1:NT$30.48,臺灣銀行100年9月30日即期匯率
"9105","泰金寶",99018910,96076030,2942880,2383886,558994,800008,159545,1199457,90732,1108725,0,0,0,1108725,1108725,0,0.27,THB$0.98:NTD$1,財報日之匯率
"910579","歐聖",-865438,877686,-1743124,960874,-2703998,24053,749996,-3429941,-292244,-3137697,0,0,0,-3137697,-3180712,43015,-1.56,RBN$1:NT$4.78,我國與16個貿易對手通貨對美元之匯率
"910861","神州",208414320,193076862,15337458,11429377,3908081,2517580,925111,5500550,1015079,4485471,0,0,0,4485471,4119911,365560,3.85,HKD＄1：NT$3.9286,以100.12.31www.oanda.com網站公佈匯率換算
"910948","融達",2643390,2482893,160497,91874,68623,92326,31777,129172,9575,119597,0,0,0,119597,119597,0,0.19,30.28,臺灣銀行於財務報表日之即期匯率
"9110","越南製造",6429729,5267693,1162036,815352,346684,273742,13086,607340,125845,481495,0,0,0,481495,481495,0,0.00,USD＄1：NT＄30.506,台北外匯經紀股份有限公司
"911602","華豐泰國",1625376,1400585,224791,122836,101955,23439,3999,121395,36772,84623,0,0,0,84623,84623,0,0.14,Baht＄1：NT$0.98,100/09/30之匯率
"911606","超級集團",7537316,5102248,2435068,1394725,1040343,71182,51533,1059992,119021,940971,0,0,0,940971,912686,28285,1.64,23.5313,依據中央銀行100.9.30財務報表日之即期匯率
"911608","明輝環球",2572754,1864204,708550,371504,337046,10025,12261,334810,54734,280076,0,0,0,280076,262497,17579,0.55,SGD$1:NT$23.51,臺灣銀行於財務報表日之即期匯率
"911609","揚子江",45552492,33848274,11704218,1168772,10535446,6666450,359368,16842528,3005343,13837185,0,0,0,13837185,13845686,-8501,3.61,(RMB $1: NT$ : 4.71),銀行期末平均匯率
"911610","聯合環境",1542073,1012656,529417,246387,283030,89860,103427,269463,56503,212960,0,0,0,212960,212960,0,0.43,SGD$1:NT$23.31,臺灣銀行於財務報表日之即期匯率
"911611","中國泰山",2856168,2420214,435954,60330,375624,31214,40159,366679,94697,271982,0,0,0,271982,271982,0,0.24,RMB1:NTD4.7755,Bloomberg顯示9月30日閉市匯率
"911612","滬安電力",11200884,9799886,1400998,541713,859285,25615,199400,685500,119775,565725,0,0,0,565725,565725,0,0.77,4.7560,以100/9/30www.oanda.com網站公佈匯率換算
"911616","杜康控股",5270707,3403283,1867424,853126,1014298,13962,111327,916933,242624,674309,0,0,0,674309,674309,0,0.93,RMB$1:NT$4.511,2011年3月底
"911622","泰聚亨",6531006,5820692,710314,325631,384683,49575,136350,297908,0,297908,0,0,0,297908,297908,0,0.49,THB＄1：NT$0.98,以100/9/30公佈匯率換算
"911626","華運中國",2988383,2098752,889631,126080,763551,8626,9389,762788,192567,570221,0,0,0,570221,570221,0,1.27,4.795,匯率係採用各該期期末之台灣銀行匯率
"916665","爾必達",85450251,102246531,-16796280,19119985,-35916265,1131892,6393692,-41178065,151360,-41329425,0,0,0,-41329425,-38971868,-2357557,-159.36,JPY$ 1 : NT$0.3891,三菱東京UFJ銀行公表匯率（TTM）