公司代號,公司名稱,利息收入,減：利息費用,利息淨收益,利息以外淨收益,淨收益,呆帳費用,收回(提存)各項保險責任準備淨額,營業費用,繼續營業單位稅前合併淨利(淨損),所得稅(費用)利益,繼續營業單位稅後合併淨利(淨損),停業單位損益,非常損益(稅後),會計原則變動之累積影響數(稅後),合併總損益,合併總損益歸屬予_母公司股東,合併總損益歸屬予_少數股權,基本每股盈餘,稀釋每股盈餘
"2880","華南金",17163140,6554721,10608419,7046320,17654739,1750873,0,9585021,6047349,-932065,5115284,0,0,0,5115284,5115254,30,0.59,0.00
"2881","富邦金",39784928,7479655,32305273,170079387,202384660,-704819,0,20140145,13425354,-2466598,10958756,0,0,0,10958756,10958756,0,1.21,1.21
"2882","國泰金",62472902,6975072,55497830,158119829,213617659,604405,0,23970836,6103900,-780567,5323333,0,0,0,5323333,5203135,120198,0.50,0.00
"2883","開發金",2517155,1276081,1241074,3968895,5209969,-358008,0,3039453,2528524,-55764,2472760,0,0,0,2472760,2399511,73249,0.20,0.00
"2884","玉山金控",11597209,4779225,6817984,5727669,12545653,1307368,0,6607374,4630911,-759248,3871663,0,0,0,3871663,3871663,0,0.85,0.80
"2885","元大金",7149786,2022420,5127366,9309763,14437129,197287,0,9621811,4618031,-1433120,3184911,0,0,0,3184911,2997520,187391,0.30,0.30
"2886","兆豐金",22976451,7602070,15374381,10396355,25770736,221523,0,9907909,15505154,-2779335,12725819,0,0,0,12725819,12718968,6851,1.13,1.13
"2887","台新金控",24204802,9960268,14244534,9673873,23918407,-1647247,0,14270577,11295077,-1931107,9363970,0,0,0,9363970,5596160,3767810,0.71,0.70
"2888","新光金",28524910,2543002,25981908,50335461,76317369,251569,0,10652032,8850175,-907205,7942970,0,0,0,7942970,7658095,284875,0.91,0.86
"2889","國票金控",1402367,670086,732281,1788303,2520584,0,0,1302492,1218092,-200584,1017508,0,0,0,1017508,1011476,6032,0.40,0.00
"2890","永豐金控",12804695,4971150,7833545,6691623,14525168,414488,0,8595077,5515603,-655744,4859859,0,0,0,4859859,4859859,0,0.64,0.64
"2891","中信金",22828048,6892023,15936025,31635943,47571968,-453281,0,17788838,12494426,-1659445,10834981,0,0,0,10834981,10831953,3028,0.93,0.00
"2892","第一金控",18219098,6246624,11972474,6759403,18731877,2234877,0,8939304,7869340,-1249612,6619728,0,0,0,6619728,6656050,-36322,0.82,0.00
"5880","合庫金",24323502,11378636,12944866,5069818,18014684,2034903,0,9990820,5301541,-871301,4430240,0,0,0,4430240,4422975,7265,0.66,0.66