公司代號,公司名稱,利息收入,減：利息費用,利息淨收益,利息以外淨收益,淨收益,呆帳費用,收回(提存)各項保險責任準備淨額,營業費用,繼續營業單位稅前合併淨利(淨損),所得稅(費用)利益,繼續營業單位稅後合併淨利(淨損),停業單位損益,非常損益(稅後),會計原則變動之累積影響數(稅後),合併總損益,合併總損益歸屬予_母公司股東,合併總損益歸屬予_少數股權,基本每股盈餘,稀釋每股盈餘
"2880","華南金",34739314,13091130,21648184,13661381,35309565,5613441,0,18984231,10452145,-1581097,8871048,0,0,0,8871048,8871006,42,1.03,0.00
"2881","富邦金",80467891,14336517,66131374,300983289,367114663,-612217,0,40224149,33403064,-4420265,28982799,0,0,0,28982799,28982799,0,3.05,3.05
"2882","國泰金",126595497,13779256,112816241,265946167,378762408,3172002,0,51208522,17020374,37663,17058037,0,0,0,17058037,17001741,56296,1.60,1.59
"2883","開發金",5858808,2589092,3269716,12083091,15352807,-81656,0,10009909,5424554,-128931,5295623,0,0,0,5295623,5024977,270646,0.39,0.00
"2884","玉山金控",23715847,9626286,14089561,10002317,24091878,2019962,0,13717997,8353919,-1295683,7058236,0,0,0,7058236,7058236,0,1.46,1.39
"2885","元大金",14250472,4078728,10171744,18300028,28471772,600925,0,19434985,8435862,-1919060,6516802,0,0,0,6516802,6129872,386930,0.61,0.61
"2886","兆豐金",45555812,15003809,30552003,20708337,51260340,4533347,0,20904341,25835677,-4292063,21543614,0,0,0,21543614,21533141,10473,1.88,1.88
"2887","台新金控",49293049,20062524,29230525,19224187,48454712,-1549930,0,29436788,20567854,-3802135,16765719,0,0,0,16765719,10261680,6504039,1.30,1.30
"2888","新光金",57445873,5172385,52273488,81781102,134054590,1428721,0,21960157,11295218,-932629,10362589,0,0,0,10362589,9812072,550517,1.16,1.12
"2889","國票金控",2755565,1332538,1423027,2864684,4287711,148,0,2586404,1701159,-320687,1380472,0,0,0,1380472,1415503,-35031,0.55,0.00
"2890","永豐金控",25964422,10100168,15864254,12644470,28508724,-4928,0,17299982,11213670,-1670227,9543443,0,0,0,9543443,9543443,0,1.26,1.25
"2891","中信金",45965483,13896201,32069282,62904523,94973805,538544,0,36641073,24581942,-3394122,21187820,0,0,0,21187820,21181643,6177,1.65,0.00
"2892","第一金控",36544468,12422258,24122210,12536534,36658744,5889866,0,18083958,12028850,-1911311,10117539,0,0,0,10117539,10173839,-56300,1.25,0.00
"5880","合庫金",49172852,22872504,26300348,9199322,35499670,4634193,0,20891839,8970031,-1434021,7536010,0,0,0,7536010,7561380,-25370,1.07,1.07