公司代號,公司名稱,利息收入,減：利息費用,利息淨收益,利息以外淨收益,淨收益,呆帳費用,收回(提存)各項保險責任準備淨額,營業費用,繼續營業單位稅前合併淨利(淨損),所得稅(費用)利益,繼續營業單位稅後合併淨利(淨損),停業單位損益,非常損益(稅後),會計原則變動之累積影響數(稅後),合併總損益,合併總損益歸屬予_母公司股東,合併總損益歸屬予_少數股權,基本每股盈餘,稀釋每股盈餘
"2880","華南金",13186295,4791075,8395220,6988766,15383986,2476935,-243034,8710321,3953696,-763065,3190631,0,0,0,3190631,3190611,20,0.51,0.00
"2881","富邦金",30139523,4633112,25506411,215926539,241432950,393316,-210339339,17295570,13404725,-2460445,10944280,0,0,0,10944280,10694098,250182,1.32,1.31
"2882","國泰金",49352390,4504444,44847946,152535291,197383237,11543,-170811060,27445993,-885359,-196475,-1081834,0,0,0,-1081834,-974110,-107724,-0.11,0.00
"2883","開發金",1528623,855342,673281,3945256,4618537,-400996,0,2709637,2309896,18046,2327942,0,0,0,2327942,2321777,6165,0.22,0.00
"2884","玉山金控",8335274,2827517,5507757,3160392,8668149,1387873,0,4848215,2432061,-300563,2131498,0,0,0,2131498,2131498,0,0.59,0.57
"2885","元大金",5002376,977723,4024653,7712453,11737106,66849,0,7715211,3955046,-1123237,2831809,0,0,0,2831809,2796131,35678,0.35,0.00
"2886","兆豐金",17565508,5455668,12109840,7655823,19765663,-11880,-27013,10191399,9559131,-1829186,7729945,0,0,0,7729945,7693974,35971,0.70,0.70
"2887","台新金控",18474387,6788327,11686060,10490888,22176948,-892992,0,12692700,10377240,-4526773,5850467,0,0,0,5850467,3896904,1953563,0.60,0.53
"2888","新光金",26892815,1344580,25548235,40635516,66183751,905360,-56469784,10505476,-1696869,-897131,-2594000,0,0,0,-2594000,-2999037,405037,-0.38,0.00
"2889","國票金控",1215326,261017,954309,1413881,2368190,1829,0,1431198,935163,-274581,660582,0,0,0,660582,655193,5389,0.31,0.00
"2890","永豐金控",10539117,3368025,7171092,4880127,12051219,2714837,0,7177766,2158616,-362657,1795959,0,0,0,1795959,1795959,0,0.26,0.25
"2891","中信金",16915749,4973410,11942339,13717199,25659538,988443,0,15204396,9466699,-1948459,7518240,0,0,0,7518240,7515053,3187,0.75,0.00
"2892","第一金控",13869752,4417082,9452670,6013316,15465986,2771970,-971206,8029206,3693604,-1203540,2490064,0,0,0,2490064,2515210,-25146,0.39,0.00