公司代號,公司名稱,營業收入,營業成本,營業毛利,營業費用,營業利益,營業外收入及利益,營業外費用及損失,繼續營業單位稅前淨利,所得稅費用(利益),繼續營業單位稅後淨利,停業單位損益,非常損益,會計原則變動之累積影響數,合併總損益,合併淨損益,少數股權損益,每股稅後盈餘,換算匯率,換算匯率參考依據
"9102","東亞科",7276928,6250876,1026052,895348,130704,21099,18438,133365,112052,21313,0,0,0,21313,38277,-16964,0.08,SGD $ 1 :NT $ 23.76,採資產負債表日台銀新幣收盤價買賣平均匯率
"910322","康師傅",165973001,114717635,51255366,32383765,18871601,3935852,1303666,21503787,4530075,16973712,0,0,0,16973712,12445513,4528199,2.23,US$1:NT$31.26,臺灣銀行99年9月30日即期匯率
"9105","泰金寶",93018537,89252425,3766112,2086196,1679916,110755,531764,1258907,167793,1091114,0,0,0,1091114,1100512,-9398,0.37,1:1.04(THB:NT),財報日之匯率
"910579","歐聖",2931865,620288,2311577,841920,1469657,25251,211799,1283109,264733,1018376,0,0,0,1018376,1018376,0,0.51,RMB$1：NT$ 4.6823,我國與十六個貿易對手通貨對美元之匯率
"910861","神州",160115292,149449063,10666229,7878002,2788227,1821655,573299,4036583,694502,3342081,0,0,0,3342081,3111155,230926,3.02,HKD＄1：NT$3.77787,以99.12.31www.oanda.com網站公佈匯率換算
"910948","融達",2930550,2584911,345639,101551,244088,23291,19848,247531,54909,192622,0,0,0,192622,192622,0,0.32,USD$1:NT$29.13,台灣銀行於財務報表日之即期匯率-買賣均價
"911602","華豐泰國",1551790,1311975,239815,132495,107320,13114,3483,116951,29535,87416,0,0,0,87416,87416,0,0.14,Baht＄1：NT$1.03,99/9/30之匯率
"911606","超級集團",5825239,3512256,2312983,1326402,986581,349233,4728,1331086,198729,1132357,0,0,0,1132357,1115654,16703,2.04,SGD$1:NT$23.76,依臺灣銀行99.9.30之即期匯率
"911608","明輝環球",1737925,1153643,584282,303629,280653,5156,0,285809,50823,234986,0,0,0,234986,225625,9361,0.54,SGD$1:NT$23.76,依臺灣銀行99.9.30即期匯率
"911609","揚子江",41380459,31502057,9878402,940776,8937626,3067635,67080,11938181,1996325,9941856,0,0,0,9941856,9919312,22544,2.69,RMB$1：NT$ 4.685,我國與十六個貿易對手通貨對美元之匯率
"911610","聯合環境",1321931,745794,576137,260463,315674,75350,14933,376091,49688,326403,0,0,0,326403,326403,0,0.71,SGD$1:NT$22.73,99.12.31臺灣銀行即期匯率
"911611","中國泰山",4330105,3220559,1109546,53138,1056408,17892,8577,1065723,271502,794221,0,0,0,794221,794221,0,0.83,RMB1:NT$4.669,Bloomberg顯示9月30日閉市匯率
"911612","滬安電力",7861925,6732290,1129635,320581,809054,28748,84910,752892,122837,630055,0,0,0,630055,630055,0,1.10,RMB$1：NT$ 4.699,以99/9/30www.oanda.com網站公佈之匯率換算
"911616","杜康控股",2482800,1714526,768274,324977,443297,14879,954,457222,64982,392240,0,0,0,392240,392240,0,0.63,RMB$1:NT$4.631,2010 年3月底
"911626","華運中國",2084665,1410622,674043,89076,584967,4093,4890,584170,80224,503946,0,0,0,503946,503946,0,1.35,4.716,匯率係採用各該期期末之台灣銀行匯率