年,季,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2014,02,2880,華南金,12256888,6969653,19226541,1335472,283468,10179940,7427661,-1102199,6325462,--,6325462,511822,6837284,6325434,--,28,6837256,--,28,0.68
2014,02,2881,富邦金,43822551,136540868,180363419,398515,123682456,23129722,33152726,-5667608,27485118,--,27485118,31616688,59101806,27347943,--,137175,59107317,--,-5511,2.67
2014,02,2882,國泰金,61487291,105624706,167111997,442641,107057816,26266323,33345217,-2743368,30601849,--,30601849,17920701,48522550,30453228,--,148621,48355251,--,167299,2.42
2014,02,2883,開發金,3566282,9450369,13016651,-67089,--,7430146,5653594,-752688,4900906,--,4900906,-71615,4829291,4821142,--,79764,4751061,--,78230,0.33
2014,02,2884,玉山金控,7261002,8614847,15875849,550811,--,8528588,6796450,-1218500,5577950,--,5577950,153620,5731570,5541927,--,36023,5694575,--,36995,0.86
2014,02,2885,元大金,6429358,22240084,28669442,455311,4625860,10809710,12778561,-949408,11829153,--,11829153,245552,12074705,11721524,--,107629,11994154,--,80551,1.16
2014,02,2886,兆豐金,17921272,13110688,31031960,662304,-64846,11091745,19342757,-3216728,16126029,--,16126029,2328134,18454163,16135439,--,-9410,18453159,--,1004,1.30
2014,02,2887,台新金控,16952013,13887325,30839338,-1231341,--,16389510,15681169,-2069513,13611656,--,13611656,15174,13626830,9035319,--,4576337,9018548,--,4608282,1.11
2014,02,2888,新光金,30282418,57729674,88012092,816528,71358926,11703420,4133218,-775839,3357379,--,3357379,2932980,6290359,2723499,--,633880,5560010,--,730349,0.28
2014,02,2889,國票金控,771626,1913509,2685135,16848,--,1352444,1315843,-96083,1219760,--,1219760,84628,1304388,1083612,--,136148,1148891,--,155497,0.41
2014,02,2890,永豐金控,8944350,12723852,21668202,2641980,--,9874432,9151790,-1951548,7200242,--,7200242,-239947,6960295,7200402,--,-160,6960455,--,-160,0.88
2014,02,2891,中信金,20388628,71586136,91974764,870400,39211515,21240896,30651953,-2169789,28482164,--,28482164,2286167,30768331,28477897,--,4267,30762191,--,6140,1.94
2014,02,2892,第一金控,13915264,7033613,20948877,1309808,404480,9832561,9402028,-1197021,8205007,0,8205007,894020,9099027,8207195,--,-2188,9102601,--,-3574,0.89
2014,02,5880,合庫金,14395620,2505077,16900697,2760861,-2944936,10784473,6300299,-955203,5345096,--,5345096,-42013,5303083,5255115,--,89981,5230896,--,72187,0.58
