年季,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2015/04,2801,彰化銀行,20915929,8753930,329372,15594286,13746201,-2102864,11643337,--,--,11643337,171329,--,11814666,11643337,--,--,11814666,--,--,1.38
2015/04,2809,京城銀行,5079427,1043277,52633,1609509,4460562,-777808,3682754,--,--,3682754,398743,--,4081497,3682754,--,--,4081497,--,--,3.09
2015/04,2820,華票,1080659,1144013,-180401,487809,1917264,-307568,1609696,--,--,1609696,275541,--,1885237,--,--,--,--,--,--,1.20
2015/03,2801,彰化銀行,15534716,5996376,-810320,11413716,10927696,-1729335,9198361,--,--,9198361,381125,--,9579486,9198361,--,--,9579486,--,--,1.09
2015/03,2809,京城銀行,3853337,1061894,109162,1242786,3563283,-676725,2886558,--,--,2886558,-227776,--,2658782,2886558,--,--,2658782,--,--,2.41
2015/03,2812,台中銀行,5589086,1722614,164307,3808649,3338744,-527881,2810863,--,--,2810863,110049,--,2920912,2810863,--,--,2920912,--,--,0.93
2015/03,2820,華票,774757,853242,-148695,360892,1415802,-221834,1193968,--,--,1193968,163840,--,1357808,--,--,--,--,--,--,0.89
2015/03,2834,臺灣企銀,11602513,3481362,1901962,8584118,4597795,-792325,3805470,0,--,3805470,15877,--,3821347,3805470,--,0,3821347,--,0,0.67
2015/03,2836,高銀,1857242,648940,260034,1713196,532952,-61330,471622,--,--,471622,1717,--,473339,471622,--,0,473339,--,0,0.61
2015/03,2838,聯邦銀行,4651672,3743636,-71574,5796819,2670063,-420333,2249730,--,--,2249730,301150,--,2550880,2241119,--,8611,2542269,--,8611,0.86
2015/03,2845,遠東商銀,4316643,4096277,-135550,4921823,3626647,-519853,3106794,--,--,3106794,6374,--,3113168,3106794,--,--,3113168,--,--,1.03
2015/03,2847,大眾銀行,4246222,2565636,61494,5039402,1710962,-455506,1255456,--,--,1255456,-84202,--,1171254,1238650,--,16806,1149338,--,21916,0.45
2015/03,2849,安泰銀行,3176573,2605669,587376,2581561,2613305,-478821,2134484,0,--,2134484,360235,--,2494719,2134484,--,0,2494719,--,0,1.27
2015/02,2801,彰化銀行,10157193,3586365,-796291,7470583,7069266,-1132468,5936798,--,--,5936798,-13471,--,5923327,5936798,--,--,5923327,--,--,0.70
2015/02,2809,京城銀行,2570265,1401373,119060,928077,2924501,-536044,2388457,--,--,2388457,633621,--,3022078,2388457,--,--,3022078,--,--,1.99
2015/02,2812,台中銀行,3685657,1273490,69696,2508277,2381174,-352889,2028285,--,--,2028285,-9457,--,2018828,2028285,--,--,2018828,--,--,0.67
2015/02,2820,華票,500347,589072,-79621,237660,931380,-137273,794107,--,--,794107,26862,--,820969,--,--,--,--,--,--,0.59
2015/02,2834,臺灣企銀,7655253,2336470,1258934,5668402,3064387,-521490,2542897,--,--,2542897,-239672,--,2303225,2542897,0,0,2303225,0,0,0.48
2015/02,2836,高銀,1230927,462568,205758,1139207,348530,-37498,311032,--,--,311032,4695,--,315727,311032,--,0,315727,--,0,0.40
2015/02,2838,聯邦銀行,3062324,2371920,-22923,3816987,1640180,-274440,1365740,--,--,1365740,69192,--,1434932,1358680,--,7060,1427872,--,7060,0.52
2015/02,2845,遠東商銀,2843452,2606529,-220225,3280123,2390083,-340792,2049291,--,--,2049291,-9419,--,2039872,2049291,--,--,2039872,--,--,0.72
2015/02,2847,大眾銀行,2802427,2476345,61533,3319809,1897430,-299831,1597599,--,--,1597599,-66484,--,1531115,1544394,--,53205,1483288,--,47827,0.56
2015/02,2849,安泰銀行,2095166,1655928,318617,1703966,1728511,-389372,1339139,0,--,1339139,21842,--,1360981,1339139,--,0,1360981,--,0,0.80
2015/01,2801,彰化銀行,5041717,1752426,-284626,3679409,3399360,-517303,2882057,--,--,2882057,-104044,--,2778013,2882057,--,--,2778013,--,--,0.36
2015/01,2809,京城銀行,1312398,482873,-10640,480332,1325579,-179289,1146290,--,--,1146290,641329,--,1787619,1146290,--,--,1787619,--,--,0.95
2015/01,2812,台中銀行,1847355,677148,68014,1250530,1205959,-181591,1024368,0,--,1024368,-22301,--,1002067,1024368,--,--,1002067,--,--,0.36
2015/01,2820,華票,248745,273601,-42720,112459,452607,-70587,382020,--,--,382020,62626,--,444646,--,--,--,--,--,--,0.28
2015/01,2834,臺灣企銀,3737100,1087751,484198,2805360,1535293,-193051,1342242,0,--,1342242,-144479,--,1197763,1342242,0,0,1197763,0,0,0.25
2015/01,2836,高銀,608795,232900,90456,567129,184110,-17966,166144,--,--,166144,10633,--,176777,166144,--,0,176777,--,0,0.22
2015/01,2838,聯邦銀行,1536446,1189514,-27231,1895279,857912,-127472,730440,--,--,730440,134014,--,864454,726593,--,3847,860607,--,3847,0.30
2015/01,2845,遠東商銀,1414825,1290453,-120496,1579930,1245844,-168446,1077398,--,--,1077398,29871,--,1107269,1077398,--,--,1107269,--,--,0.38
2015/01,2847,大眾銀行,1405007,1131936,61291,1661724,813928,-130722,683206,0,--,683206,28137,--,711343,655590,--,27616,679309,--,32034,0.26
2015/01,2849,安泰銀行,1015400,837510,361456,824987,666467,-62132,604335,0,--,604335,112677,--,717012,604335,--,0,717012,--,0,0.36
2014/04,2801,彰化銀行,19337956,7225541,-884084,15023496,12424085,-1526905,10897180,--,--,10897180,590026,--,11487206,10897180,--,--,11487206,--,--,1.38
2014/04,2809,京城銀行,4953599,2811208,114470,1616949,6033388,-837034,5196354,--,--,5196354,-555624,--,4640730,5196354,--,--,4640730,--,--,4.33
2014/04,2812,台中銀行,7161977,3553022,1982816,4531940,4200243,-480987,3719256,0,--,3719256,48863,--,3768119,3719256,--,--,3768119,--,--,1.32
2014/04,2820,華票,967673,907536,-234907,451916,1658200,-272857,1385343,--,--,1385343,73434,--,1458777,--,--,--,--,--,--,1.03
2014/04,2834,臺灣企銀,14790257,4204068,2538587,10970022,5485716,-170579,5315137,0,--,5315137,169212,--,5484349,5315137,0,0,5484349,0,0,1.00
2014/04,2836,高銀,2467881,932138,691079,2197610,511330,-1439,509891,--,--,509891,81131,--,591022,509891,--,0,591022,--,0,0.69
2014/04,2838,聯邦銀行,5944978,4989963,-494806,7691951,3737796,-614311,3123485,0,--,3123485,470169,--,3593654,3093795,--,29690,3564000,--,29654,1.26
2014/04,2845,遠東商銀,5379536,5497412,70318,6510496,4296134,-601611,3694523,--,--,3694523,96822,--,3791345,3694523,--,--,3791345,--,--,1.31
2014/04,2847,大眾銀行,5386143,4905247,481951,6536981,3272458,-505519,2766939,0,--,2766939,56453,--,2823392,2635095,--,131844,2698162,--,125230,1.04
2014/04,2849,安泰銀行,4138815,3045439,197045,3258285,3728924,-527445,3201479,0,--,3201479,549914,--,3751393,3201479,--,0,3751393,--,0,1.91
2014/03,2801,彰化銀行,14314442,5585041,-1543004,10871737,10570750,-1457202,9113548,--,--,9113548,35138,--,9148686,9113548,--,--,9148686,--,--,1.15
2014/03,2809,京城銀行,3684974,2146269,47308,1051211,4732724,-694314,4038410,--,--,4038410,810037,--,4848447,4038410,--,--,4848447,--,--,3.36
2014/03,2812,台中銀行,5283246,2386563,833416,3301571,3534822,-461981,3072841,--,--,3072841,70405,--,3143246,3072841,--,--,3143246,--,--,1.10
2014/03,2820,華票,721234,718105,-196045,338358,1297026,-204158,1092868,--,--,1092868,-28932,--,1063936,--,--,--,--,--,--,0.81
2014/03,2834,臺灣企銀,10922746,3193186,1955777,8128577,4031578,-79543,3952035,0,--,3952035,87043,--,4039078,3952035,--,0,4039078,--,0,0.75
2014/03,2836,高銀,1834491,634930,482488,1611312,375621,-21014,354607,--,--,354607,38549,--,393156,354607,--,0,393156,--,0,0.48
2014/03,2838,聯邦銀行,4439809,3589432,-434731,5599832,2864140,-498797,2365343,--,--,2365343,171956,--,2537299,2336958,--,28385,2508914,--,28385,0.95
2014/03,2845,遠東商銀,3949522,4119025,-102254,4745004,3425797,-456571,2969226,--,--,2969226,-59736,--,2909490,2969226,--,--,2909490,--,--,1.06
2014/03,2847,大眾銀行,3968091,3883729,389898,4833177,2628745,-385521,2243224,0,--,2243224,54850,--,2298074,2124213,--,119011,2189605,--,108469,0.84
2014/03,2849,安泰銀行,3092472,2133529,112697,2407626,2705678,-388660,2317018,0,--,2317018,204725,--,2521743,2317018,--,0,2521743,--,0,1.38
2014/02,2801,彰化銀行,9265803,3435735,-1510036,7093380,7118194,-1149971,5968223,--,--,5968223,41834,--,6010057,5968223,--,--,6010057,--,--,0.76
2014/02,2809,京城銀行,2410750,1797021,72623,722683,3412465,-526359,2886106,--,--,2886106,1172733,--,4058839,2886106,--,--,4058839,--,--,2.40
2014/02,2812,台中銀行,3428986,1786622,764152,2134537,2316919,-271218,2045701,--,--,2045701,78850,--,2124551,2045701,--,--,2124551,--,--,0.74
2014/02,2820,華票,479778,504870,-61229,218714,827163,-126545,700618,--,--,700618,52353,--,752971,--,--,--,--,--,--,0.52
2014/02,2834,臺灣企銀,7146417,2022112,1361449,5241444,2565636,-32772,2532864,--,--,2532864,-18669,--,2514195,2532864,--,0,2514195,--,0,0.48
2014/02,2836,高銀,1201569,446256,355849,1044795,247181,-35698,211483,--,--,211483,51504,--,262987,211483,--,0,262987,--,0,0.29
2014/02,2838,聯邦銀行,2939072,2328303,-283143,3658850,1891668,-336271,1555397,--,--,1555397,154075,--,1709472,1531887,--,23510,1685962,--,23510,0.63
2014/02,2845,遠東商銀,2553694,2739415,-85804,3100930,2277983,-304167,1973816,--,--,1973816,71813,--,2045629,1973816,--,--,2045629,--,--,0.71
2014/02,2847,大眾銀行,2556741,2775254,300156,3185435,1846404,-258502,1587902,0,--,1587902,52531,--,1640433,1434240,--,153662,1499630,--,140803,0.57
2014/02,2849,安泰銀行,1988539,1490298,11143,1553895,1913799,-261966,1651833,0,--,1651833,221649,--,1873482,1651833,--,0,1873482,--,0,0.98
2014/01,2801,彰化銀行,4516230,1704171,-869272,3438771,3650902,-550555,3100347,--,--,3100347,170785,--,3271132,3100347,--,--,3271132,--,--,0.40
2014/01,2809,京城銀行,1176767,581661,-41435,349686,1450177,-185240,1264937,--,--,1264937,439488,--,1704425,1264937,--,--,1704425,--,--,1.05
2014/01,2812,台中銀行,1688633,1156656,608509,1105023,1131757,-94918,1036839,0,--,1036839,38478,--,1075317,1036839,--,--,1075317,--,--,0.40
2014/01,2820,華票,237966,281584,-38419,107607,450362,-63727,386635,--,--,386635,9941,--,396576,--,--,--,--,--,--,0.29
2014/01,2834,臺灣企銀,3503275,979004,681444,2581979,1218856,-6396,1212460,0,--,1212460,100166,--,1312626,1212460,--,0,1312626,--,0,0.24
2014/01,2836,高銀,592730,178144,93920,520964,155990,-21208,134782,--,--,134782,27096,--,161878,134782,--,0,161878,--,0,0.19
2014/01,2838,聯邦銀行,1461624,1126487,-35306,1742769,880648,-152685,727963,--,--,727963,217076,--,945039,718954,--,9009,936030,--,9009,0.32
2014/01,2845,遠東商銀,1249480,1500513,72173,1523176,1154644,-149729,1004915,--,--,1004915,71778,--,1076693,1004915,--,--,1076693,--,--,0.38
2014/01,2847,大眾銀行,1256961,1592829,150000,1594585,1105205,-147000,958205,0,--,958205,68415,--,1026620,869690,--,88515,941140,--,85480,0.37
2014/01,2849,安泰銀行,957109,738619,175625,762501,757602,-91197,666405,0,--,666405,174309,--,840714,666405,--,0,840714,--,0,0.40
2013/04,2801,彰化銀行,17080428,6742781,-637773,13713262,10747720,-1929471,8818249,--,--,8818249,-586318,--,8231931,8818249,--,--,8231931,--,--,1.14
2013/04,2809,京城銀行,4341162,2430890,567374,1442137,4762541,-620528,4142013,--,--,4142013,459773,--,4601786,4142013,--,--,4601786,--,--,3.53
2013/04,2812,台中銀行,6310267,2953985,1864173,3863100,3536979,-476708,3060271,--,--,3060271,-175831,--,2884440,3060271,--,--,2884440,--,--,1.23
2013/04,2820,華票,910987,705132,-543319,475551,1683887,-283026,1400861,--,--,1400861,-168978,--,1231883,--,--,--,--,--,--,1.04
2013/04,2834,臺灣企銀,13594502,4128739,3000139,10866352,3856750,-246548,3610202,0,--,3610202,-1379,--,3608823,3610202,0,0,3608823,0,0,0.71
2013/04,2836,高銀,2269327,667938,400838,2057308,479119,-60014,419105,--,--,419105,-211736,--,207369,419105,--,0,207369,--,0,0.58
2013/04,2838,聯邦銀行,5840519,4650027,-95868,7178056,3408358,-520554,2887804,0,--,2887804,686856,--,3574660,2867891,--,19913,3554518,--,20142,1.30
2013/04,2845,遠東商銀,4884367,4603262,-68604,5993126,3563107,-501837,3061270,--,--,3061270,-132848,--,2928422,3061270,--,--,2928422,--,--,1.30
2013/04,2847,大眾銀行,4778987,5095323,721177,6051661,3101472,-362376,2739096,0,--,2739096,102531,--,2841627,2656315,--,82781,2735156,--,106471,1.15
2013/04,2849,安泰銀行,4225947,2335572,196560,3016584,3348375,-707120,2641255,0,--,2641255,-599275,--,2041980,2641255,--,0,2041980,--,0,1.57
2013/03,2801,彰化銀行,12796120,5190296,-648577,10107256,8527737,-1477935,7049802,--,--,7049802,-710782,--,6339020,7049802,--,--,6339020,--,--,0.91
2013/03,2809,京城銀行,3198111,1854309,526315,1060741,3465364,-464107,3001257,--,--,3001257,162549,--,3163806,3001257,--,--,3163806,--,--,2.57
2013/03,2812,台中銀行,4635171,2199767,1018743,2936606,2879589,-381730,2497859,0,--,2497859,-130307,--,2367552,2497859,--,--,2367552,--,--,1.00
2013/03,2820,華票,661698,509069,-627387,356608,1441546,-242805,1198741,--,--,1198741,-197664,--,1001077,--,--,--,--,--,--,0.89
2013/03,2834,臺灣企銀,10011166,3091062,2641139,8013340,2447749,-227563,2220186,--,--,2220186,63321,--,2283507,2220186,--,0,2283507,--,0,0.44
2013/03,2836,高銀,1679844,533122,323606,1532427,356933,-55840,301093,--,--,301093,-189831,--,111262,301093,--,0,111262,--,0,0.42
2013/03,2838,聯邦銀行,4366642,3407918,46947,5209467,2518146,-375102,2143044,--,--,2143044,310933,--,2453977,2130544,--,12500,2441477,--,12500,0.97
2013/03,2845,遠東商銀,3662753,3440597,-320523,4316938,3106935,-379189,2727746,--,--,2727746,-260398,--,2467348,2727746,--,--,2467348,--,--,1.16
2013/03,2847,大眾銀行,3610109,4057713,601169,4548248,2518405,-270828,2247577,0,--,2247577,8603,--,2256180,2209826,37751,--,2203847,--,52333,0.95
2013/03,2849,安泰銀行,3209060,1562329,221146,2250505,2299738,-533611,1766127,0,--,1766127,-766977,--,999150,1766127,--,0,999150,--,0,1.05
2013/02,2801,彰化銀行,8404510,3549188,-421797,6715508,5659987,-935534,4724453,--,--,4724453,-299653,--,4424800,4724453,--,--,4424800,--,--,0.61
2013/02,2809,京城銀行,2071327,1225825,442348,659161,2195643,-298891,1896752,--,--,1896752,-453623,--,1443129,1896752,--,--,1443129,--,--,1.65
2013/02,2812,台中銀行,3010942,1671225,787204,1985445,1909518,-198716,1710802,0,--,1710802,17240,--,1728042,1710802,--,--,1728042,--,--,0.69
2013/02,2820,華票,420625,320486,-670717,241151,1170677,-198322,972355,--,--,972355,-108254,--,864101,--,--,--,--,--,--,0.72
2013/02,2834,臺灣企銀,6574923,2144219,1691206,5333570,1694366,-156646,1537720,--,--,1537720,-54162,--,1483558,1537720,--,0,1483558,--,0,0.30
2013/02,2836,高銀,1097059,389937,233022,1019648,234326,-41161,193165,--,--,193165,-229411,--,-36246,193165,--,0,-36246,--,0,0.27
2013/02,2838,聯邦銀行,2874491,2318432,-14668,3504552,1703039,-240363,1462676,--,--,1462676,292677,--,1755353,1454605,--,8071,1747282,--,8071,0.66
2013/02,2845,遠東商銀,2381779,2296686,-323676,2887641,2114500,-259920,1854580,--,--,1854580,-46674,--,1807906,1854580,--,--,1807906,--,--,0.83
2013/02,2847,大眾銀行,2437433,2957012,480611,3022010,1891824,-186538,1705286,--,--,1705286,-103370,--,1601916,1679152,--,26134,1575949,--,25967,0.72
2013/02,2849,安泰銀行,2173729,1644657,-40578,1600576,2258388,-495086,1763302,0,--,1763302,-800390,--,962912,1763302,--,0,962912,--,0,1.05
2013/01,2801,彰化銀行,4108099,1547351,-474157,3305437,2824170,-474951,2349219,--,--,2349219,-76563,--,2272656,2349219,--,0,2272656,--,0,0.32
2013/01,2809,京城銀行,1006852,820743,285760,361706,1180129,-107728,1072401,--,--,1072401,-67379,--,1005022,1072401,--,--,1005022,--,--,0.98
2013/01,2812,台中銀行,1457578,718553,282075,989865,904191,-110219,793972,0,--,793972,-5713,--,788259,793972,--,--,788259,--,--,0.34
2013/01,2820,華票,204588,167592,-649909,124907,897182,-153427,743755,--,--,743755,-68815,--,674940,--,--,--,--,--,--,0.55
2013/01,2834,臺灣企銀,3248316,979353,803615,2606376,817678,-89186,728492,--,--,728492,67318,--,795810,728492,--,0,795810,--,0,0.15
2013/01,2836,高銀,522576,177424,60132,507144,132724,-22015,110709,--,--,110709,-60507,--,50202,110709,--,0,50202,--,0,0.16
2013/01,2838,聯邦銀行,1447061,912000,-50563,1611662,797962,-98953,699009,--,--,699009,217556,--,916565,694017,--,4992,911573,--,4992,0.34
2013/01,2845,遠東商銀,1149743,1178728,-151809,1441027,1039253,-128876,910377,--,--,910377,-3569,--,906808,910377,--,--,906808,--,--,0.41
2013/01,2847,大眾銀行,1223765,1195583,239877,1524513,654958,-109503,545455,--,--,545455,12436,--,557891,522452,--,23003,520248,--,37643,0.24
2013/01,2849,安泰銀行,1000367,881908,-41038,799714,1123599,-310558,813041,0,--,813041,-203040,--,610001,813041,--,0,610001,--,0,0.48
